id,title,tags,description,Related 가지들,imgType
1,Knock Knock: How to Doongzi,전시,둥지의 처음(이자 마지막)으로 개최한 단독 전시. 2022년 9월 「월간디자인」 531호에 약 80*100mm의 분량으로 소개되었다.,2,
2,둥키백과,웹,,1,
3,둥지,,둥지,,
3,둥사이트 시즌 1,웹,,4,
4,이화여대 소모임 연합전시,전시,"둥지가 결성 후 처음으로 참여한 전시. 둥지의 이율리가 전시 아이덴티티를, 권윤이 리플렛을 디자인했다.",3,
5,둥지 X 글피 전시,전시,,,
6,둥지 멤버수는? 티셔츠,작업,,39,
7,쪽글 프로젝트,작업,,,
8,벽돌공,작업,,,
9,열받는 매뉴얼,작업,,,
10,번아웃^2,작업,,,
11,파브르 프로젝트,작업,,,
12,둥브제,작업,,,
13,"서대문구 연희로 32, 203호",작업실,2022년 9월부터 2024년 8월까지 사용한 세 번째 작업실. 유명 빵집 ‘만동제과’와 이웃이었다.,,
14,"서대문구 연희로 2안길 12, B103호",작업실,2021년 9월부터 2022년 9월까지 사용한 두 번째 작업실.,,
15,강남구 도곡로 37길 50,작업실,2021년 7월부터 2021년 9월까지 사용한 첫 작업실.,,
16,"중구 창경궁로 7, 402호",작업실,"2024년 9월부터 현재까지 사용중인 네 번째 작업실. 디자이너 그룹 ‘콜리’, 디자이너 ‘유지율’과 함께 사용한다.",28,
17,권윤,둥지 멤버,,38,
18,이채영,둥지 멤버,,38,
19,김나연,둥지 멤버,,38,
20,이율리,둥지 멤버,둥지의 창시자,38,
21,유지율,둥지의 동료,2022년부터 현재까지 둥지와 작업실을 공유하고 있는 디자이너. 둥지의 멤버 ‘김나연’보다 작업실을 사용한 기간이 길다.,16,
22,심지영,둥지의 동료,2023년 4월 4일부터 2024년 3월까지 둥지와 작업실을 공유한 디자이너,,
23,지예안,둥지의 동료,2023년 10월부터 2024년 5월까지 둥지와 작업실을 공유한 디자이너,,
24,김채영,둥지의 동료,2024년 9월부터 현재까지 둥지와 작업실을 공유하고 있는 디자이너이자 둥지와 친밀한 디자이너 그룹 ‘콜리’의 멤버.,28,
25,윤주향,둥지의 동료,2024년 9월부터 현재까지 둥지와 작업실을 공유하고 있는 디자이너이자 둥지와 친밀한 디자이너 그룹 ‘콜리’의 멤버.,28,
26,남유현,둥지의 동료,2024년 9월부터 현재까지 둥지와 작업실을 공유하고 있는 디자이너이자 둥지와 친밀한 디자이너 그룹 ‘콜리’의 멤버.,28,
27,이가경,둥지의 동료,2024년 9월부터 현재까지 둥지와 작업실을 공유하고 있는 디자이너이자 둥지와 친밀한 디자이너 그룹 ‘콜리’의 멤버.,28,
28,콜리,둥지의 동료,둥지와 친밀한 디자이너 그룹,"[24,25,26,27,16]",
32,김형진,둥지의 인스타그램을 팔로우한 유명인,,,
35,whatreallymatters,둥지의 전시가 열린 공간,,1,
36,월간 디자인,둥지를 주목한 잡지사,,1,
37,673,둥지와 관련된 숫자,둥지의 인스타그램 팔로워수,,
38,4,둥지와 관련된 숫자,둥지의 멤버수,"[17,18,19,20]",
39,66000,둥지와 관련된 숫자,둥지가 참여한 첫 플리마켓에서 번 돈(단위: 원),6,
41,둥사이트 시즌 2,웹,이 웹사이트.,,
43,https://www.youtube.com/watch?v=oiXTyqaOFnE,둥지가 2024년 11월에 추천한 유튜브 영상,"Leroy Anderson Ritvélin, The Typewriter",,gif
44,쓰쓰쓰,둥지 멤버의 과반수 이상이 참여한 전시,,,
45,타닥타닥,둥지 멤버의 과반수 이상이 참여한 전시,"2024 이화여자대학교 디자인학부 졸업전시. 둥지의 이율리가 졸업전시 준비 위원회의 디자인 팀장을, 권윤이 웹사이트 디자인을 맡았다. \n둥지의 이채영, 이율리, 권윤이 전시에 참여했다.",,
